id,region,ndvi,yield,year,month,soil_type
7694,North,0.83,4.8,2022,10,peat
7695,South,0.88,3.1,2021,11,clay
7696,North,0.61,3.5,2021,1,sandy_loam
7697,West,0.8,4.3,2022,11,clay
7698,South,0.83,4.1,2021,11,peat
7699,West,0.77,3.4,2020,9,clay
7700,South,0.55,2.5,2021,3,sandy_loam
7701,West,0.66,4.5,2021,5,peat
7702,South,0.64,4.6,2023,6,clay
7703,North,0.63,2.2,2020,2,clay
7704,West,0.81,2.4,2021,9,peat
7705,East,0.81,2.7,2021,7,peat
7706,East,0.78,4.2,2022,4,sandy_loam
7707,West,0.88,4.4,2023,8,peat
7708,South,0.75,4.5,2022,9,sandy_loam
7709,North,0.57,2.8,2023,9,sandy_loam
7710,East,0.81,2.8,2023,5,sandy_loam
7711,West,0.88,4.9,2020,12,clay
7712,East,0.62,4.6,2023,12,sandy_loam
7713,East,0.87,2.1,2022,7,clay
7714,North,0.61,2.5,2023,10,clay
7715,East,0.7,3.7,2020,5,clay
7716,South,0.53,2.2,2022,5,sandy_loam
7717,West,0.76,4.1,2021,3,clay
7718,South,0.62,2.4,2023,12,sandy_loam
7719,North,0.8,2.4,2022,10,clay
7720,West,0.69,2.6,2023,7,peat
7721,South,0.57,2.8,2022,2,clay
7722,East,0.63,2.9,2020,1,sandy_loam
7723,South,0.65,2.9,2022,9,sandy_loam
7724,North,0.59,2.6,2020,9,sandy_loam
7725,North,0.61,3.2,2023,5,peat
7726,East,0.7,4.5,2023,9,clay
7727,North,0.87,3.6,2020,6,sandy_loam
7728,East,0.86,2.4,2022,8,clay
7729,East,0.89,3.6,2020,8,sandy_loam
7730,East,0.78,3.8,2022,1,sandy_loam
7731,East,0.78,3.6,2021,6,peat
7732,North,0.86,3.1,2020,11,sandy_loam
7733,South,0.68,2.1,2023,7,clay
7734,West,0.57,4.3,2023,5,clay
7735,South,0.71,3.8,2021,5,sandy_loam
7736,East,0.62,3.1,2023,9,peat
7737,East,0.84,3.0,2023,8,clay
7738,East,0.68,4.7,2021,3,sandy_loam
7739,East,0.63,4.0,2023,1,clay
7740,North,0.63,2.8,2021,3,sandy_loam
7741,North,0.89,2.3,2022,3,clay
7742,North,0.57,3.9,2021,10,sandy_loam
7743,North,0.77,5.0,2020,9,peat
7744,North,0.84,3.7,2022,12,clay
7745,East,0.67,4.0,2021,11,sandy_loam
7746,West,0.51,2.3,2020,7,clay
7747,West,0.85,2.7,2022,1,sandy_loam
7748,South,0.7,3.0,2020,7,sandy_loam
7749,East,0.84,3.1,2022,9,peat
7750,North,0.57,3.0,2022,6,clay
7751,West,0.76,2.4,2022,8,sandy_loam
7752,East,0.84,3.3,2021,2,clay
7753,South,0.83,3.7,2022,1,sandy_loam
7754,North,0.88,3.5,2022,9,clay
7755,South,0.59,3.0,2022,4,sandy_loam
7756,East,0.76,4.8,2023,6,sandy_loam
7757,West,0.74,3.9,2022,12,clay
7758,North,0.7,4.7,2023,7,clay
7759,North,0.82,4.8,2022,10,peat
7760,South,0.64,4.1,2022,10,clay
7761,East,0.5,4.2,2023,5,peat
7762,West,0.51,4.0,2020,2,sandy_loam
7763,East,0.54,2.7,2020,1,sandy_loam
7764,West,0.82,4.0,2023,9,sandy_loam
7765,North,0.76,4.0,2020,1,clay
7766,North,0.54,5.0,2020,2,peat
7767,North,0.62,4.6,2023,8,sandy_loam
7768,North,0.78,3.3,2023,6,sandy_loam
7769,West,0.77,4.0,2022,9,clay
7770,North,0.73,3.1,2023,11,sandy_loam
7771,East,0.84,3.3,2023,10,sandy_loam
7772,South,0.54,4.2,2021,9,peat
7773,West,0.84,2.7,2023,9,peat
7774,North,0.69,3.4,2021,2,peat
7775,East,0.88,4.6,2020,7,sandy_loam
7776,North,0.68,4.8,2021,3,clay
7777,South,0.75,2.3,2022,10,peat
7778,East,0.86,3.9,2022,12,clay
7779,North,0.73,4.4,2023,11,peat
7780,North,0.89,3.3,2023,8,sandy_loam
7781,South,0.73,4.6,2021,2,peat
7782,North,0.88,3.4,2020,1,sandy_loam
7783,West,0.58,2.6,2023,6,clay
7784,South,0.78,2.7,2022,5,sandy_loam
7785,South,0.89,2.6,2022,5,peat
7786,North,0.52,4.2,2021,11,sandy_loam
7787,West,0.6,3.4,2022,11,sandy_loam
7788,North,0.88,2.8,2023,12,clay
7789,East,0.58,3.3,2020,9,peat
7790,North,0.87,4.1,2022,8,peat
7791,North,0.66,3.9,2020,3,sandy_loam
7792,East,0.56,3.6,2022,10,clay
7793,South,0.6,4.9,2023,7,sandy_loam
7794,South,0.75,4.3,2020,7,peat
7795,North,0.83,4.3,2022,5,peat
7796,West,0.82,4.1,2022,11,clay
7797,South,0.68,4.2,2021,11,peat
7798,East,0.8,2.4,2023,4,clay
7799,North,0.86,2.1,2022,1,peat
7800,South,0.89,4.7,2023,3,clay
7801,North,0.83,2.4,2021,2,peat
7802,West,0.59,2.0,2020,8,sandy_loam
7803,North,0.59,2.0,2020,7,sandy_loam
7804,West,0.66,4.8,2022,4,clay
7805,East,0.75,3.4,2023,7,sandy_loam
7806,North,0.81,4.3,2020,7,clay
7807,West,0.65,4.7,2023,11,clay
7808,East,0.59,2.9,2020,10,sandy_loam
7809,South,0.54,2.8,2022,4,clay
7810,East,0.75,4.1,2021,11,clay
7811,West,0.54,2.7,2021,7,peat
7812,West,0.51,4.5,2020,4,peat
7813,South,0.8,3.6,2023,12,clay
7814,West,0.8,4.4,2023,12,clay
7815,East,0.64,4.7,2020,6,sandy_loam
7816,West,0.53,4.0,2022,7,clay
7817,East,0.53,4.5,2022,11,clay
7818,North,0.89,3.3,2021,11,sandy_loam
7819,East,0.6,4.5,2020,12,sandy_loam
7820,North,0.55,4.2,2023,4,clay
7821,East,0.9,3.9,2021,9,peat
7822,South,0.61,3.2,2023,4,sandy_loam
7823,East,0.76,2.7,2022,12,clay
7824,East,0.67,3.7,2020,2,sandy_loam
7825,East,0.79,2.6,2023,4,sandy_loam
7826,North,0.76,2.0,2023,6,sandy_loam
7827,East,0.6,3.2,2022,10,clay
7828,South,0.81,3.6,2023,8,clay
7829,East,0.83,4.4,2020,10,clay
7830,South,0.71,4.3,2020,2,clay
7831,East,0.83,2.6,2022,6,peat
7832,West,0.76,3.2,2023,5,peat
7833,West,0.88,3.3,2023,12,peat
7834,South,0.8,4.8,2022,12,clay
7835,North,0.63,2.8,2022,3,clay
7836,North,0.64,3.1,2020,5,peat
7837,West,0.74,2.9,2023,8,clay
7838,West,0.52,3.2,2023,3,sandy_loam
7839,North,0.67,4.8,2023,1,peat
7840,East,0.84,2.3,2023,4,clay
7841,East,0.54,2.5,2022,4,clay
7842,North,0.86,3.3,2023,8,peat
7843,North,0.54,4.3,2023,7,peat
7844,East,0.62,3.7,2022,5,sandy_loam
7845,West,0.76,4.3,2023,2,sandy_loam
7846,West,0.84,4.6,2023,10,sandy_loam
7847,South,0.6,4.0,2022,5,sandy_loam
7848,East,0.75,2.4,2023,3,sandy_loam
7849,North,0.77,3.5,2023,3,clay
7850,East,0.74,2.2,2022,10,peat
7851,West,0.59,3.4,2023,5,peat
7852,South,0.69,3.3,2022,1,sandy_loam
7853,East,0.83,2.0,2020,5,clay
7854,South,0.64,2.2,2021,2,sandy_loam
7855,South,0.68,2.0,2021,9,clay
7856,South,0.52,2.8,2020,10,peat
7857,West,0.53,4.3,2021,11,sandy_loam
7858,South,0.64,4.0,2022,5,clay
7859,South,0.77,4.6,2023,4,sandy_loam
7860,West,0.75,2.4,2021,2,sandy_loam
7861,North,0.53,3.2,2020,12,peat
7862,West,0.84,3.2,2021,3,clay
7863,North,0.51,3.2,2021,2,sandy_loam
7864,South,0.63,4.3,2022,7,peat
7865,East,0.68,3.7,2020,4,peat
7866,East,0.66,3.9,2023,1,peat
7867,North,0.74,4.7,2023,2,clay
7868,East,0.57,3.8,2023,3,clay
7869,West,0.55,4.0,2022,3,peat
7870,North,0.63,3.4,2022,3,sandy_loam
7871,South,0.85,2.9,2021,3,sandy_loam
7872,South,0.67,2.1,2021,7,peat
7873,North,0.54,2.6,2023,6,clay
7874,North,0.55,2.6,2023,11,peat
7875,North,0.81,2.6,2021,11,clay
7876,East,0.7,4.8,2022,5,sandy_loam
7877,North,0.63,2.6,2022,2,peat
7878,North,0.8,4.8,2021,1,sandy_loam
7879,South,0.53,2.8,2021,10,peat
7880,East,0.68,2.2,2021,9,sandy_loam
7881,South,0.81,3.7,2020,7,clay
7882,East,0.55,2.9,2022,6,clay
7883,North,0.6,2.5,2021,6,sandy_loam
7884,West,0.71,2.0,2022,12,peat
7885,North,0.87,3.2,2023,9,sandy_loam
7886,East,0.51,4.0,2022,2,clay
7887,East,0.59,3.4,2023,1,peat
7888,North,0.55,4.8,2021,9,peat
7889,South,0.63,4.7,2021,7,peat
7890,North,0.88,4.8,2020,10,clay
7891,West,0.7,2.8,2022,7,sandy_loam
7892,East,0.62,2.5,2023,10,sandy_loam
7893,North,0.82,4.0,2023,8,clay
7894,East,0.54,3.3,2023,4,clay
7895,South,0.57,3.4,2023,6,sandy_loam
7896,East,0.75,2.0,2021,2,clay
7897,South,0.87,3.6,2022,11,sandy_loam
7898,North,0.8,2.0,2021,10,sandy_loam
7899,East,0.6,4.8,2020,12,sandy_loam
7900,South,0.71,4.4,2023,8,peat
7901,South,0.75,3.0,2020,9,sandy_loam
7902,West,0.52,4.8,2023,5,sandy_loam
7903,West,0.84,2.1,2020,7,peat
7904,South,0.58,3.4,2023,10,peat
7905,South,0.77,2.5,2022,3,peat
7906,North,0.57,3.4,2022,1,clay
7907,East,0.6,4.6,2022,9,clay
7908,North,0.62,4.6,2022,7,clay
7909,West,0.51,3.4,2023,9,clay
7910,West,0.85,2.2,2023,1,sandy_loam
7911,West,0.71,2.8,2020,1,sandy_loam
7912,North,0.62,3.3,2023,4,sandy_loam
7913,North,0.82,4.6,2022,9,sandy_loam
7914,North,0.88,3.1,2020,5,peat
7915,North,0.71,4.8,2022,5,sandy_loam
7916,North,0.55,2.2,2020,4,sandy_loam
7917,West,0.79,3.4,2023,8,clay
7918,South,0.74,4.3,2022,8,peat
7919,South,0.66,3.1,2022,6,peat
7920,South,0.77,3.2,2020,5,peat
7921,East,0.59,3.7,2023,4,clay
7922,West,0.84,2.1,2023,10,sandy_loam
7923,North,0.59,4.7,2023,9,peat
7924,South,0.82,4.1,2021,1,clay
7925,South,0.52,5.0,2021,9,peat
7926,East,0.68,3.7,2022,11,peat
7927,East,0.81,4.6,2021,3,sandy_loam
7928,East,0.76,3.7,2023,1,clay
7929,East,0.83,2.3,2020,9,clay
7930,South,0.8,3.9,2023,12,peat
7931,East,0.51,4.3,2023,6,peat
7932,East,0.66,2.7,2021,5,peat
7933,East,0.68,3.0,2021,2,peat
7934,North,0.89,3.5,2021,1,clay
7935,East,0.54,3.3,2022,9,clay
7936,North,0.75,2.1,2022,7,clay
7937,West,0.7,2.6,2023,5,clay
7938,East,0.6,2.3,2020,3,sandy_loam
7939,West,0.65,4.0,2021,6,clay
7940,South,0.66,3.1,2020,7,sandy_loam
7941,South,0.81,2.8,2022,2,peat
7942,West,0.83,4.3,2021,12,clay
7943,North,0.88,4.4,2020,11,sandy_loam
7944,East,0.8,4.1,2021,9,clay
7945,South,0.69,3.6,2021,2,sandy_loam
7946,South,0.57,3.1,2022,8,peat
7947,East,0.66,3.9,2021,11,sandy_loam
7948,South,0.65,2.8,2022,1,clay
7949,North,0.8,4.3,2022,3,clay
7950,South,0.86,2.5,2020,10,clay
7951,East,0.9,2.6,2020,1,clay
7952,West,0.67,2.9,2021,3,sandy_loam
7953,North,0.89,4.9,2021,9,sandy_loam
7954,East,0.83,4.9,2022,8,peat
7955,South,0.56,3.7,2023,2,peat
7956,North,0.62,3.0,2023,5,sandy_loam
7957,East,0.6,3.4,2021,4,peat
7958,East,0.7,4.5,2021,12,clay
7959,North,0.53,2.6,2022,11,sandy_loam
7960,North,0.56,3.5,2021,12,sandy_loam
7961,East,0.75,3.1,2020,5,sandy_loam
7962,West,0.6,2.0,2022,5,clay
7963,East,0.63,2.9,2020,11,clay
7964,North,0.89,4.0,2020,8,clay
7965,North,0.55,3.6,2021,8,clay
7966,North,0.89,4.3,2021,7,clay
7967,West,0.53,4.9,2021,4,peat
7968,West,0.62,2.6,2023,12,peat
7969,West,0.58,4.5,2023,3,clay
7970,West,0.8,4.5,2021,6,sandy_loam
7971,East,0.85,3.0,2022,11,peat
7972,West,0.55,4.9,2022,4,peat
7973,South,0.53,2.8,2023,1,sandy_loam
7974,East,0.56,3.6,2020,1,peat
7975,South,0.6,2.2,2023,7,peat
7976,South,0.71,4.3,2021,1,peat
7977,West,0.53,2.9,2022,5,sandy_loam
7978,South,0.72,3.6,2021,3,clay
7979,East,0.66,3.4,2022,11,clay
7980,East,0.67,2.1,2022,12,sandy_loam
7981,East,0.9,2.0,2022,3,clay
7982,South,0.65,4.7,2021,4,clay
7983,East,0.8,4.2,2022,11,sandy_loam
7984,South,0.71,3.8,2022,7,sandy_loam
7985,West,0.85,3.8,2022,1,sandy_loam
7986,East,0.62,4.7,2023,9,peat
7987,South,0.69,3.2,2023,2,clay
7988,North,0.87,3.1,2021,4,clay
7989,South,0.52,4.8,2022,12,sandy_loam
7990,West,0.54,3.2,2023,12,clay
7991,West,0.55,2.4,2020,11,sandy_loam
7992,North,0.61,4.4,2021,5,sandy_loam
7993,East,0.85,4.3,2023,9,clay
7994,North,0.5,2.7,2020,4,peat
7995,North,0.78,2.5,2022,8,sandy_loam
7996,East,0.58,3.4,2021,10,peat
7997,South,0.51,4.8,2020,7,peat
7998,East,0.77,2.0,2022,5,clay
7999,North,0.78,2.7,2021,7,peat
8000,East,0.58,4.5,2020,2,sandy_loam
8001,North,0.89,4.7,2023,5,peat
8002,West,0.55,2.0,2021,10,sandy_loam
8003,South,0.7,3.8,2023,7,peat
8004,North,0.58,3.6,2021,6,sandy_loam
8005,North,0.83,2.1,2020,8,clay
8006,South,0.56,4.4,2022,7,sandy_loam
8007,West,0.83,4.9,2020,10,clay
8008,West,0.8,3.3,2022,12,peat
8009,South,0.7,3.2,2020,6,sandy_loam
8010,East,0.81,2.4,2022,3,peat
8011,North,0.79,3.1,2020,9,peat
8012,South,0.57,2.7,2022,10,clay
8013,South,0.86,3.2,2022,6,peat
8014,East,0.67,4.0,2020,4,clay
8015,North,0.63,4.5,2022,1,clay
8016,South,0.87,3.9,2022,9,clay
8017,West,0.67,4.7,2020,12,peat
8018,East,0.51,2.7,2021,6,sandy_loam
8019,North,0.88,2.8,2022,5,peat
8020,North,0.86,2.7,2020,1,peat
8021,South,0.72,3.6,2022,3,sandy_loam
8022,North,0.54,4.1,2022,4,clay
8023,North,0.72,4.2,2022,11,clay
8024,North,0.66,3.5,2022,2,peat
8025,East,0.67,3.9,2023,6,peat
8026,East,0.56,4.3,2022,6,clay
8027,West,0.53,2.9,2021,6,clay
8028,West,0.66,4.5,2023,1,clay
8029,South,0.73,2.6,2021,4,peat
8030,North,0.71,2.8,2020,8,sandy_loam
8031,East,0.89,3.5,2021,4,sandy_loam
8032,South,0.82,3.5,2021,2,clay
8033,West,0.63,4.0,2023,3,clay
8034,North,0.66,4.7,2023,8,sandy_loam
8035,West,0.54,3.3,2022,2,sandy_loam
8036,West,0.59,4.8,2022,10,peat
8037,South,0.87,4.0,2020,4,sandy_loam
8038,South,0.62,2.2,2020,9,peat
8039,East,0.75,4.3,2022,5,clay
8040,West,0.72,2.5,2023,10,clay
8041,North,0.75,3.5,2023,10,peat
8042,East,0.83,3.3,2020,7,sandy_loam
8043,East,0.53,2.5,2022,5,sandy_loam
8044,West,0.89,4.3,2023,8,sandy_loam
8045,South,0.9,3.0,2022,6,clay
8046,East,0.56,4.8,2023,3,clay
8047,East,0.79,4.0,2022,10,clay
8048,North,0.85,2.0,2023,7,clay
8049,East,0.63,2.6,2021,11,sandy_loam
8050,West,0.63,5.0,2022,9,sandy_loam
8051,East,0.82,4.4,2022,11,peat
8052,North,0.86,4.4,2020,10,sandy_loam
8053,West,0.8,3.1,2022,8,clay
8054,North,0.57,2.7,2020,8,peat
8055,West,0.88,3.7,2022,11,clay
8056,East,0.8,3.5,2022,4,peat
8057,North,0.54,2.9,2021,2,sandy_loam
8058,North,0.83,2.4,2022,2,peat
8059,South,0.63,3.4,2022,7,sandy_loam
8060,North,0.62,4.5,2020,7,sandy_loam
8061,South,0.5,4.6,2022,9,peat
8062,North,0.65,2.4,2020,8,peat
8063,South,0.63,4.2,2020,9,peat
8064,South,0.73,3.2,2022,12,clay
8065,West,0.54,4.9,2023,1,sandy_loam
8066,South,0.81,3.9,2022,6,sandy_loam
8067,East,0.73,5.0,2021,4,clay
8068,West,0.59,2.1,2023,1,sandy_loam
8069,West,0.87,2.7,2022,6,sandy_loam
8070,West,0.8,2.6,2023,7,sandy_loam
8071,South,0.67,4.4,2023,2,peat
8072,East,0.57,4.2,2020,5,sandy_loam
8073,East,0.79,4.4,2021,9,sandy_loam
8074,North,0.51,4.8,2021,4,clay
8075,East,0.54,3.1,2020,9,clay
8076,South,0.75,4.0,2021,4,peat
8077,East,0.51,2.6,2021,6,clay
8078,West,0.52,4.0,2023,2,peat
8079,East,0.51,5.0,2023,2,peat
8080,South,0.72,3.2,2020,1,sandy_loam
8081,North,0.67,4.9,2023,12,peat
8082,North,0.71,4.8,2023,12,peat
8083,North,0.59,2.7,2021,2,clay
8084,South,0.51,4.4,2021,2,clay
8085,West,0.8,3.9,2020,1,sandy_loam
8086,West,0.84,2.8,2022,11,peat
8087,South,0.85,3.2,2022,2,peat
8088,East,0.61,2.5,2020,7,clay
8089,West,0.86,3.4,2020,1,clay
8090,South,0.6,3.7,2022,1,peat
8091,West,0.71,4.2,2020,8,sandy_loam
8092,North,0.57,2.8,2023,5,sandy_loam
8093,South,0.74,3.7,2020,4,clay
8094,West,0.73,2.7,2021,7,clay
8095,East,0.68,2.6,2023,4,sandy_loam
8096,West,0.54,3.7,2020,4,peat
8097,South,0.67,3.2,2021,6,peat
8098,West,0.88,2.4,2021,10,peat
8099,West,0.63,3.3,2022,11,sandy_loam
8100,East,0.82,4.6,2020,6,clay
8101,West,0.55,4.1,2022,8,peat
8102,East,0.69,3.4,2023,10,clay
8103,West,0.73,4.7,2021,9,peat
8104,East,0.53,3.7,2022,7,peat
8105,West,0.89,4.1,2020,7,peat
8106,South,0.77,3.6,2021,8,clay
8107,North,0.79,2.9,2020,8,peat
8108,North,0.58,2.3,2023,7,peat
8109,North,0.6,2.7,2023,9,sandy_loam
8110,South,0.63,3.0,2020,10,clay
8111,West,0.68,4.3,2021,11,clay
8112,North,0.52,3.6,2023,9,clay
8113,East,0.53,2.4,2023,10,clay
8114,South,0.78,3.0,2020,4,sandy_loam
8115,North,0.8,2.1,2020,5,peat
8116,South,0.88,3.8,2020,2,sandy_loam
8117,East,0.65,4.3,2021,10,peat
8118,South,0.63,4.9,2021,4,clay
8119,South,0.85,3.9,2023,12,sandy_loam
8120,South,0.78,2.8,2021,10,clay
8121,East,0.79,2.3,2021,11,peat
8122,East,0.83,2.4,2020,9,sandy_loam
8123,South,0.57,4.3,2020,8,peat
8124,East,0.72,3.6,2022,9,clay
8125,West,0.62,2.9,2022,8,peat
8126,North,0.59,3.4,2023,6,clay
8127,North,0.62,5.0,2020,10,peat
8128,West,0.74,4.6,2020,7,sandy_loam
8129,West,0.75,4.3,2021,6,peat
8130,South,0.75,4.1,2020,7,clay
8131,West,0.63,3.8,2022,11,sandy_loam
8132,North,0.64,4.5,2023,8,peat
8133,South,0.77,4.1,2023,6,clay
8134,East,0.51,2.4,2022,10,sandy_loam
8135,West,0.56,2.4,2020,3,sandy_loam
8136,South,0.52,3.6,2020,5,peat
8137,South,0.63,2.2,2022,6,peat
8138,North,0.52,2.2,2021,3,sandy_loam
8139,East,0.58,2.6,2020,9,sandy_loam
8140,South,0.81,2.3,2021,3,peat
8141,East,0.88,2.8,2023,1,sandy_loam
8142,South,0.85,3.0,2022,8,clay
8143,West,0.74,4.0,2022,8,clay
8144,South,0.58,3.5,2022,7,clay
8145,West,0.55,4.0,2022,2,peat
8146,West,0.71,3.9,2020,12,sandy_loam
8147,South,0.54,4.1,2022,12,clay
8148,West,0.64,2.9,2021,5,peat
8149,North,0.83,2.1,2022,7,sandy_loam
8150,North,0.56,2.4,2021,9,sandy_loam
8151,South,0.53,2.1,2021,12,sandy_loam
8152,South,0.6,4.3,2020,5,peat
8153,West,0.56,4.2,2021,3,clay
8154,East,0.79,3.1,2023,11,sandy_loam
8155,East,0.89,4.6,2020,9,peat
8156,East,0.81,3.1,2021,5,clay
8157,East,0.87,4.1,2020,3,sandy_loam
8158,North,0.7,2.6,2020,6,sandy_loam
8159,South,0.62,4.9,2023,4,peat
8160,North,0.58,4.9,2022,11,peat
8161,South,0.81,4.8,2023,2,clay
8162,South,0.62,4.3,2021,3,peat
8163,West,0.52,3.4,2020,6,peat
8164,West,0.81,3.1,2022,12,clay
8165,South,0.6,4.2,2020,2,sandy_loam
8166,North,0.71,3.8,2020,2,sandy_loam
8167,West,0.57,4.5,2023,9,clay
8168,West,0.68,4.3,2021,11,peat
8169,West,0.71,3.7,2021,12,sandy_loam
8170,North,0.82,4.8,2022,1,peat
8171,West,0.84,2.2,2020,5,sandy_loam
8172,North,0.73,4.2,2023,9,peat
8173,North,0.56,3.3,2023,8,peat
8174,North,0.77,2.3,2022,7,peat
8175,South,0.69,4.3,2023,4,sandy_loam
8176,West,0.73,2.2,2022,12,peat
8177,East,0.75,3.8,2020,12,sandy_loam
8178,East,0.6,3.8,2023,2,clay
8179,West,0.81,3.2,2023,1,clay
8180,South,0.73,4.2,2021,10,clay
8181,South,0.78,3.9,2021,12,sandy_loam
8182,East,0.63,3.6,2023,5,sandy_loam
8183,East,0.51,4.9,2022,8,clay
8184,West,0.77,2.2,2021,10,peat
8185,South,0.67,3.6,2023,12,sandy_loam
8186,East,0.71,3.2,2021,12,sandy_loam
8187,West,0.88,3.9,2022,5,peat
8188,East,0.89,2.7,2021,7,peat
8189,North,0.63,3.6,2020,1,peat
8190,North,0.82,3.2,2020,12,clay
8191,South,0.53,3.6,2021,7,peat
8192,South,0.67,2.9,2021,6,clay
8193,East,0.54,3.3,2021,5,clay
8194,North,0.57,3.9,2020,7,clay
8195,North,0.6,3.6,2020,6,peat
8196,West,0.79,2.2,2020,9,peat
8197,East,0.6,4.1,2023,7,peat
8198,North,0.5,4.3,2023,12,clay
8199,South,0.59,2.6,2021,6,peat
8200,West,0.51,3.4,2022,12,sandy_loam
8201,East,0.64,4.2,2023,7,clay
8202,East,0.88,2.7,2022,7,clay
8203,South,0.72,3.6,2022,12,clay
8204,North,0.73,4.0,2020,4,peat
8205,East,0.75,3.8,2020,3,sandy_loam
8206,South,0.77,2.7,2020,3,peat
8207,East,0.73,2.1,2021,2,sandy_loam
8208,West,0.86,4.7,2023,7,clay
8209,West,0.79,4.4,2020,7,peat
8210,North,0.83,2.6,2023,9,clay
8211,South,0.54,4.8,2023,9,sandy_loam
8212,North,0.55,4.6,2021,7,clay
8213,North,0.54,2.3,2020,3,peat
8214,East,0.56,3.1,2022,7,sandy_loam
8215,North,0.87,4.5,2022,1,sandy_loam
8216,West,0.84,2.7,2023,12,peat
8217,South,0.59,3.8,2021,9,clay
8218,North,0.81,3.4,2020,2,clay
8219,South,0.59,3.5,2020,4,peat
8220,North,0.72,2.0,2021,10,peat
8221,East,0.52,3.7,2020,8,clay
8222,West,0.6,3.1,2023,12,peat
8223,North,0.6,2.4,2023,1,clay
8224,East,0.84,3.9,2020,8,sandy_loam
8225,East,0.86,3.3,2020,12,peat
8226,North,0.8,4.8,2020,9,clay
8227,North,0.86,2.5,2022,10,clay
8228,West,0.89,5.0,2020,9,sandy_loam
8229,South,0.55,4.9,2021,5,sandy_loam
8230,East,0.72,4.8,2021,5,peat
8231,East,0.81,2.0,2020,11,sandy_loam
8232,West,0.81,3.0,2023,3,peat
8233,South,0.54,3.2,2020,10,peat
8234,East,0.53,4.2,2021,11,clay
8235,North,0.55,4.9,2023,5,clay
8236,South,0.66,3.8,2023,7,sandy_loam
8237,North,0.8,3.7,2022,4,sandy_loam
8238,West,0.78,3.1,2023,7,peat
8239,East,0.74,4.4,2022,2,sandy_loam
8240,East,0.69,2.5,2022,3,sandy_loam
8241,North,0.73,2.7,2020,10,sandy_loam
8242,North,0.63,3.0,2023,8,peat
8243,South,0.54,3.6,2020,10,peat
8244,West,0.87,3.6,2020,11,sandy_loam
8245,East,0.54,2.1,2023,5,sandy_loam
8246,North,0.58,3.1,2023,5,sandy_loam
8247,West,0.6,4.0,2022,8,clay
8248,East,0.82,3.7,2022,4,clay
8249,North,0.72,2.1,2020,5,clay
8250,West,0.67,2.7,2020,12,clay
8251,West,0.51,2.2,2023,7,peat
8252,East,0.89,4.3,2023,3,clay
8253,North,0.87,4.5,2021,9,sandy_loam
8254,West,0.81,2.1,2021,6,sandy_loam
8255,North,0.84,4.1,2021,7,sandy_loam
8256,South,0.74,4.0,2020,7,peat
8257,East,0.55,4.7,2023,9,peat
8258,East,0.62,4.5,2021,9,clay
8259,North,0.63,2.9,2023,7,peat
8260,East,0.84,2.7,2021,1,peat
8261,North,0.62,2.8,2021,8,clay
8262,East,0.88,4.5,2023,12,peat
8263,West,0.55,3.5,2022,4,sandy_loam
8264,North,0.66,4.9,2022,6,sandy_loam
8265,South,0.62,4.0,2023,6,sandy_loam
8266,North,0.58,4.4,2020,2,sandy_loam
8267,East,0.7,2.9,2021,10,clay
8268,South,0.77,3.0,2023,3,sandy_loam
8269,East,0.77,3.3,2023,4,clay
8270,East,0.82,2.5,2022,4,sandy_loam
8271,South,0.51,4.7,2021,5,peat
8272,West,0.67,4.1,2020,11,sandy_loam
8273,East,0.61,4.4,2022,7,sandy_loam
8274,North,0.52,4.5,2021,2,peat
8275,West,0.61,2.4,2022,2,sandy_loam
8276,South,0.5,2.6,2020,5,clay
8277,West,0.6,2.1,2021,8,clay
8278,East,0.89,3.6,2022,11,peat
8279,East,0.89,3.4,2022,6,clay
8280,North,0.77,3.9,2020,1,peat
8281,South,0.65,2.0,2022,2,clay
8282,West,0.68,3.5,2020,1,peat
8283,South,0.62,3.6,2020,6,clay
8284,North,0.76,2.6,2022,1,sandy_loam
8285,South,0.5,4.2,2021,6,sandy_loam
8286,East,0.5,4.3,2023,2,clay
8287,East,0.76,2.7,2021,4,clay
8288,South,0.65,3.0,2021,1,clay
8289,West,0.69,4.2,2020,4,clay
8290,West,0.88,4.9,2021,12,sandy_loam
8291,North,0.69,3.8,2022,6,clay
8292,East,0.65,3.8,2022,1,clay
8293,South,0.73,3.2,2023,11,sandy_loam
8294,South,0.71,4.6,2022,2,peat
8295,East,0.58,2.9,2021,12,sandy_loam
8296,West,0.63,2.3,2023,12,clay
8297,North,0.5,4.0,2021,12,clay
8298,West,0.77,2.1,2021,1,clay
8299,South,0.69,3.9,2022,7,peat
8300,West,0.52,3.1,2020,5,peat
8301,East,0.61,2.3,2021,2,peat
8302,East,0.66,3.0,2021,4,sandy_loam
8303,North,0.62,4.0,2022,4,clay
8304,East,0.76,3.1,2020,10,sandy_loam
8305,North,0.86,3.5,2022,3,peat
8306,West,0.86,3.6,2021,12,clay
8307,East,0.72,2.6,2023,11,clay
8308,West,0.5,2.8,2022,3,sandy_loam
8309,West,0.63,2.6,2022,1,sandy_loam
8310,South,0.64,2.6,2020,7,sandy_loam
8311,South,0.84,4.7,2022,11,clay
8312,East,0.5,4.0,2021,9,sandy_loam
8313,East,0.8,3.1,2023,4,peat
8314,East,0.76,3.2,2023,7,peat
8315,East,0.82,3.3,2023,11,clay
8316,South,0.77,3.2,2022,11,sandy_loam
8317,South,0.64,2.3,2023,11,sandy_loam
